schedule,schedule_type,reason
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Linh hoạt theo công việc của cá nhân và sắp xếp của Giám đốc,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Từ thứ 2 - thứ 7: 8h30 - 17h30,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 07:30 đến 17:00) | Thứ 7 (từ 07:30 đến 11:30),T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | •	Thứ 2 – Thứ 7 từ 08h30 – 17h30 (nghỉ trưa 1,5h)",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 11:30),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Từ 8h00 - 12h00 và 13h30 - 17h30 (từ thứ Hai đến thứ Sáu) | Từ 8h00 - 12h00 (thứ Bảy),T2-T6,header-T6-pure
"Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 2 - Thứ 6 (từ 08:30 đến 18:00), sáng thứ 7 (8:00-12:00)",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Thứ 2 - Sáng thứ 7 từ 08h30 đến 18h00 (Nghỉ trưa 1 tiếng 30 phút),T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Làm việc 8 tiếng/ ngày.,T2-T7,header-T7
"[""Từ 1/5 đến 30/11: Thứ Hai đến Thứ Sáu, 8h00–17h30 (nghỉ trưa 12h00–13h30); sáng Thứ Bảy linh hoạt theo yêu cầu và tiến độ công việc\nTừ 1/12 đến 30/4: Thứ Hai đến Thứ Sáu, 8h00–17h30 (nghỉ trưa 12h00–13h30); Thứ Bảy làm buổi sáng 8h00–12h00""]",T2-T7,freetext-T7
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | Thứ 7 (từ 09:00 đến 13:00),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Và 02 thứ 7 trong tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 6 (từ 13:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ Bảy làm việc từ 8-12h nghỉ chiều Thứ 7,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thời gian: 9h00 đến 18h30 (Thứ 2 đến sáng thứ 7),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | - Thời gian từ: 9h00 - 18h | * Nghỉ trưa: 11h45 - 13h15,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Làm từ thứ 2 - 6 & Làm 2 thứ 7 - nghỉ 2 thứ 7 trong tháng,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thời gian làm việc: Thứ 2- Thứ 6, thứ 7 làm việc buổi sáng.",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 08:30 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:15 đến 17:30) | Thứ 7 làm việc cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 07:30 đến 17:00),T2-T7,header-T7
Thứ 2 - Thứ 6: 8h00 - 17h00 | Thứ 7 cách tuần: 8h00 - 15h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Nghỉ 2 ngày thứ 7/ tháng.,T2-T7,header-T7
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)\nThứ 7 (từ 08:00 đến 12:00)""]",T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Từ 8h00 – 17h30 Thứ 2 – Thứ 6 (Nghỉ thứ 7 trước ngày 15 hàng tháng, sau ngày 15 đi làm nguyên ngày).",T2-T6,header-T6-pure
– Ca sáng: Từ 8h00 đến 12h00 | – Ca chiều: Từ 13h30 – 17h30. Nghỉ trưa: 1h30 | – Làm việc từ sáng thứ 2 đến hết sáng thứ 7 hàng tuần,T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 làm buổi sáng,T2-T7,header-T6+sat-body
8h - 17h Thứ Hai đến sáng Thứ Bảy,T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ Bảy (từ 08h00 - 12h00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:15 đến 17:30) | Thứ 7 (từ 08:15 đến 12:15),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 09:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 - Thứ 6: Từ 8:00 - 12:00 & 13:00 - 17:00 | Thứ 7 cách tuần: Từ 9:00 - 12:00 & 13:00 - 16:00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 05:30) | Thứ 7 (từ 08:30 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | + 2 ngày thứ 7/tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ trưa: 1 tiếng,T2-T7,header-T6+sat-body
"8h00 - 17h0, làm 2 thứ 7 một tháng",T2-T7,freetext-sat-signal
"Thứ 2 đến thứ 6:  Buổi sáng 08h30  – 12h00, Buổi chiều 13h30 – 18h00. Thứ 7 làm việc cách tuần",T2-T7,freetext-T7
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | 842/1/33 Nguyễn Kiệm, Phường Hạnh Thông, TP Hồ Chí Minh",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 16:30) | - Ngày làm 7 tiếng | - Sáng: 7h30-11h30 | chiều 13h30-16h30,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 17:30) | Các ngày thứ 7 cách tuần trong tháng,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Từ 8h30 – 18h00 (nghỉ trưa 1 tiếng rưỡi), từ Thứ 2 – sáng Thứ 7. | Riêng sáng Thứ 7 tuỳ theo tính chất công việc mà làm việc tại nhà hoặc tại công ty.",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 tuần 2-4 làm online,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thời gian làm việc: Từ 8h30 – 18h00 (nghỉ trưa 1 tiếng rưỡi), từ Thứ 2 – sáng Thứ 7. Riêng sáng Thứ 7 tuỳ theo tính chất công việc mà làm việc tại nhà hoặc tại công ty.",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Thứ 7: Làm việc từ xa (WFH),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 11:45),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | OFF 2 ngày Thứ Bảy trong tháng,T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 2 - Thứ 6 và 2 Thứ 7/tháng, 8h-12h và 13h30-17h30",T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 đến sáng thứ 7: 8h00 - 12h00, 13h30 - 17h30",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:25 đến 17:30) | Nghỉ tối thiểu 3 thứ Bảy/tháng. Các thứ Bảy còn lại làm theo lịch cố định của công ty.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Thời gian linh hoạt theo yêu cầu của Sếp - chủ yếu ca hành chính và phát sinh ca tối khi sếp về quê hoặc đi tỉnh công tác,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 17:30) | Giờ hành chính,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Sáng thứ 7: 8h00-12h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Nghỉ thứ 7 cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 đầu tiên của tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 17:30),T2-T7,header-T7
Thời gian làm việc: Sáng 8h30 - 12h; Chiều 13h30 - 17h30 từ Thứ 2 đến Sáng Thứ 7,T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7: 08:30 - 12:00,T2-T7,header-T6+sat-body
8h-17h (từ Thứ 2 đến hết sáng Thứ 7),T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Và 2 ngày Thứ Bảy xen kẽ,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 (từ 08:30 đến 17:00) | Thứ 7 làm xen kẽ: tuần làm - tuần nghỉ,T2-T7,header-T6+sat-body
"Linh động lịch giảng dạy từ thứ 2 đến thứ 7, theo 3 ca: | Sáng: 8h30 - 11h30 | Chiều: 13h30 - 16h30 | Tối: 18h00 - 21h00",T2-T7,freetext-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Từ thứ hai đến hết sáng thứ 7,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:15) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Có thể linh hoạt theo tính chất công việc hoặc phát sinh ngoài giờ trong các giai đoạn cao điểm.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 16:30) | Nghỉ 2 ngày thứ 7 cách tuần,T2-T7,header-T7
"Từ 8h - 17h30 thứ 2 đến hết sáng thứ 7, nghỉ trưa 1,5h",T2-T7,freetext-T7
Thời gian làm việc: Thứ 2 – Thứ 6 và thêm 2 ngày Thứ 7 cách tuần,T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 7 (từ 08:30 đến 17:45)\n- Thứ 2 - Thứ 6: 8h30 - 17h45 (Nghỉ trưa 12h00 - 13h15)\n- Thứ 7 đi làm: 8h30 - 17h00 (Nghỉ trưa 12h00 - 13h15)\n- Nghỉ thứ 7 cách tuần""]",T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 07:45 đến 17:30) | Sáng từ 7h45 đến 11h 30 . Chiều 1h45 đến 17h 30,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:15 đến 17:45),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 15:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | và thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7: 8h00-12h00 (có thể WFH),T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)\nCác thứ Bảy trong tháng chia lịch nghỉ cách tuần hoặc đảm bảo tối thiểu định mức công của tháng. Thời gian đi làm ngày thứ Bảy theo giờ quy định đối với các ngày trong tuần.""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Nghỉ 02 ngày thứ Bảy trong mỗi tháng theo sự sắp xếp của Ban Giám đốc kinh doanh,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ trưa 1h30’,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Giờ hành chính từ thứ Hai đến hết sáng Thứ Bảy (Từ 8h00 - 17h00 giờ mùa hè, 8h00 - 17h30 giờ mùa đông)",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 6 (từ 13:30 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | Nhưng chỉ làm có 2 ngày thứ Bảy trong một tháng,T2-T7,header-T7
"Thời gian làm việc: 8g30 – 17g30 (Thứ 2 – Thứ 7), nghỉ trưa 12g – 13g00",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 12:00) | Làm việc từ thứ 2 đến hết sáng thứ 7,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | 8h30 - 17h30 từ thứ 2 - thứ 6, thứ 7 làm việc luân phiên cách tuần",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 12:00) | Làm việc Online buổi sáng thứ 7,T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)\nThứ 2 - Thứ 6: 8h-17h30, Thứ 7: 8h - 12h""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 linh động theo yêu cầu Team,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 15:30),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 18:00),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | 1/2 thứ 7 trong tháng,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ Hai đến Thứ Sáu: Sáng từ 7h45 đến 17h00. | Thứ Bảy: Làm việc đến 12h00.,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 09:00 đến 18:00) | Làm 2 thứ 7 trong một tháng,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ trưa 1,5 tiếng",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 () | Làm việc từ thứ 2 - thứ 7,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Nghỉ 2 thứ 7 luân phiên,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Làm thứ 7 cách tuần | Nghỉ trưa từ 12h - 13h30,T2-T7,header-T7
"T2 - T6: 8h00 - 18h00 | T7: 8h00 - 15h00 (làm 2 thứ 7, nghỉ cách tuần)",T2-T7,freetext-T6+sat
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | 1/2 thứ 7 trong tháng,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Ngày làm việc: Thứ 2 – Thứ 6 hàng tuần, làm việc 2 Thứ 7 trong tháng (thứ 7 đầu tháng và cuối tháng)",T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 16:45) | Thứ 2 đến Thứ 6, và 01 ngày thứ 7 trong tháng",T2-T7,header-T7
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)\nThứ 7 (từ 08:00 đến 12:00)\nMonday to Friday: 8:00 AM – 5:30 PM (90-minute lunch break)\nSaturday: 8:00 AM – 12:00 PM (2 Saturday mornings per month)""]",T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | - Làm thêm hai thứ Bảy tuần 1,3 | - Nghỉ trưa 12h - 13h30",T2-T7,header-T6+sat-body
Thứ 7 (từ 08:00 đến 17:00) | Thứ 2 - Thứ 7 (từ 11:00 đến 20:00),T2-T7,freetext-T7
"Từ thứ 2 - sáng thứ 7 hàng tuần. | Sáng 8h30 - 12h30, chiều 13h30-17h30.",T2-T7,freetext-T7
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | Thời gian làm việc: thứ hai - thứ sáu:  9:00 - 18:00 | Thứ bảy: 9:00 - 12:00,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 làm việc online 1 buổi,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00),T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Sáng: 8:00 - 11:30 | Chiều: 13:30 - 17:00,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Từ Thứ Hai đến Sáng Thứ Bảy,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Fulltime (Thứ 2 – Thứ 7) | -   Buổi sáng: 08h30 – 12h00; | -   Buổi chiều: 13h00 – 17h30.,T2-T7,header-T7
+ Thứ 2 - Thứ 6: 8h30 - 18h00 (nghỉ trưa 1h30ph) | + Thứ 7: 8h30 - 16h30 (cách tuần),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 11:45) | Làm 2 sáng thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:15) | Thứ 7 làm tới 16h,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 - Thứ 6 và thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Từ 8h30 đến 17h30 (Nghỉ trưa từ 12h00 - 13h30) | Từ thứ Hai – thứ Sáu | Thứ Bảy làm việc cách tuần,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | T2 - Sáng T7, 8h00 - 12h00, 13h00 - 17h00",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ 7 nghỉ cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ trưa: 12:00 - 13:30,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 2-Thứ 6, Thứ 7 nghỉ xen kẽ (08:30-17:30)",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 16:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | - Giờ làm: 8h - 17h30 (nghỉ trưa: 12h00 - 13h30). | Chấm công linh hoạt 8h00-8h30 hàng ngày | - Thứ 7: Làm 2 Thứ 7 luân phiên cách tuần trong tháng.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | thứ 7 được nghỉ chiều,T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Làm việc từ thứ 2 đến thứ 6 và thứ 7 cách tuần (1 tuần làm thứ 7, 1 tuần nghỉ thứ 7)",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ trưa 12h - 13h00.,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 07:30 đến 16:30) | Thứ 7 làm việc cách tuần (tuần làm, tuần nghỉ)",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 làm tại nhà,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 20:00),T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00),T2-T7,header-T7
"[""Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)\nThứ 7 (từ 08:30 đến 18:00)\nThứ 2 – Thứ 6\nThứ 7 cách tuần""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 (từ 08:30 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ 7 làm cách tuần (tuần 1 và tuần 3 của tháng),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 tuần 01 và 03,T2-T7,header-T6+sat-body
"Từ thứ 2 đến thứ 6 (08:30-17:30), thứ 7 (08:30-12:00).",T2-T7,freetext-T7
"Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | - Thời gian làm việc: Thứ 2 – Thứ 6, làm việc 2 ngày Thứ 7/tháng",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Đi làm 2 sáng thứ 7/tháng | Nghỉ trưa 1 tiếng rưỡi,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 làm việc online,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Thứ 7 có thể làm online cả ngày,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Sáng Thứ Bảy cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Làm 1 thứ 7/tháng,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Trong tháng làm 2 thứ 7 xen kẽ nhau,T2-T7,header-T6+sat-body
"Từ thứ 2 đến sáng thứ 7: 8h - 17h30, nghỉ trưa 12h-13h30",T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | làm việc từ thứ 2 đến thứ 6 và 1 thứ 7/tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 17:30),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 ( từ 08:00 đến 12h),T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | giờ hành chính, thứ 7 trực luân phiên",T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Làm việc từ thứ 2 - thứ 7. Làm 02 ngày thứ 7/ tháng,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 7 (từ 13:30 đến 17:30) | Nghỉ thứ 7 cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 12:00) | Thứ 2 - Thứ 6 (từ 13:00 đến 17:30) | Thứ 7 () | Thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) (làm 2 buổi sáng thứ 7 cách tuần trong tháng) | Nghỉ trưa từ 12h đến 13h30,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ trưa 1 tiếng,T2-T7,header-T6+sat-body
